clip_id,rater_id,overall_mos,echo_annoyance_mos,nearend_naturalness_mos,acceptability_binary,confidence,headphone_passed,calibration_confirmed,submitted_at,system,item_uid,utt_id,scenario_bucket,task_type
hr_0028e840a9eafe,returned_human_item_summary_v1,3.0,2.13,4.95,0.0,4.0,1,1,2026-04-26T13:51:29+00:00,SC-AEC-Preserve,far_end_single_talk__18dcb7b7eb81dd55,farend-singletalk__eb6d9058__root__au0OFsctrku59giLt4VQTQ_farend-singletalk,far_end_single_talk,rating
hr_3f1d4087ebb365,returned_human_item_summary_v1,2.4,4.39,1.32,0.0,4.0,1,1,2026-04-26T13:51:29+00:00,Deep Echo public checkpoint transfer,low_ser_overlap__1063fa3bc36cd136,fileid_327,low_ser_overlap,rating
hr_a9bff52331d0f0,returned_human_item_summary_v1,2.4,4.4,1.29,0.0,4.0,1,1,2026-04-26T13:51:29+00:00,SC-AEC-Echo,low_ser_overlap__1063fa3bc36cd136,fileid_327,low_ser_overlap,rating
hr_1b949e289191fc,returned_human_item_summary_v1,2.4,4.6,1.0,0.0,4.0,1,1,2026-04-26T13:51:29+00:00,SC-AEC-Echo,noisy_double_talk__3e7195c251ca3bcf,fileid_365,noisy_double_talk,rating
rep_96bf98dd009863,returned_human_item_summary_v1,2.4,4.06,1.67,0.0,4.0,1,1,2026-04-26T13:51:29+00:00,Deep Echo public checkpoint transfer,low_ser_overlap__e0d46cbd150da7bf,fileid_445,low_ser_overlap,hidden_repeat
hr_c4d16b4432e1ab,returned_human_item_summary_v1,3.5,2.78,3.71,1.0,4.0,1,1,2026-04-26T13:51:29+00:00,NLMS,double_talk__ee2f1c34a5affb7a,doubletalk__f03ba73a__root__0CI8zRqd2U609L9H09qWrA_doubletalk,double_talk,rating
hr_52b6f443a7ccd5,returned_human_item_summary_v1,2.4,1.84,4.12,0.0,4.0,1,1,2026-04-26T13:51:29+00:00,ASTWS public checkpoint transfer,noisy_double_talk__2e03707942a55f6e,fileid_141,noisy_double_talk,rating
hr_ca638a170558da,returned_human_item_summary_v1,3.67,2.9,3.98,1.0,4.0,1,1,2026-04-26T13:51:29+00:00,ASTWS public checkpoint transfer,noisy_double_talk__9e64a17e918989f5,fileid_234,noisy_double_talk,rating
hr_2b897b906cfe52,returned_human_item_summary_v1,2.4,1.82,3.67,0.0,4.0,1,1,2026-04-26T13:51:29+00:00,ASTWS-H16k,echo_path_motion__102b09a8f53351ea,doubletalk__f03ba73a__root__hdNQZhLx0Ui03H20NSBv1g_doubletalk-with-movement,echo_path_motion,rating
hr_b9b1187b7aef4b,returned_human_item_summary_v1,3.0,2.21,4.86,0.0,4.0,1,1,2026-04-26T13:51:29+00:00,SC-AEC-Echo,echo_path_motion__c09924bc3dab856f,farend-singletalk__eb6d9058__root__9d1645a6-0d73-4dd2-b946-619201420143_farend-singletalk-with-movement,echo_path_motion,rating
